Description,Revenue,UniqueCustomers,Slope,popularity_score
3 TRADITIONAL COOKIE CUTTERS  SET,304.2,4,253.79999999999995,113037.246036
3 TRADITIONAl BISCUIT CUTTERS  SET,2610.61,169,-0.06145930300452098,-1587425745.9546216
3 WHITE CHOC MORRIS BOXED CANDLES,1642.07,81,-0.272888588634269,-1009681.8274476096
3 WICK CHRISTMAS BRIAR CANDLE,15.97,2,-0.9700000000000003,-18.74398900000001
36 DOILIES DOLLY GIRL,1365.29,72,-1.1220618136348806,-1463912.1767230995
36 DOILIES VINTAGE CHRISTMAS,7061.73,152,3.8743417862086806,53554649741.28113
36 FOIL HEART CAKE CASES,3992.58,145,0.7304588746049183,2929467907.9809713
36 FOIL STAR CAKE CASES,2070.15,92,-0.9324928582702018,-12410073.790505
36 PENCILS TUBE POSY,76.91,11,0.24215731195112647,53.13735528555157
36 PENCILS TUBE RED RETROSPOT,4729.9800000000005,165,0.391839286945728,12524498150.899525
36 PENCILS TUBE SKULLS,2400.05,134,0.06974779533397982,58934633.23059632
36 PENCILS TUBE WOODLAND,2331.14,112,0.11911518270449209,12009259.116369784
3D CHRISTMAS STAMPS STICKERS,1536.24,86,0.3378927892275275,1883687.7624959245
3D DOG PICTURE PLAYING CARDS,1025.57,50,-0.44454487712996604,-53519.8855626196
3D HEARTS  HONEYCOMB PAPER GARLAND,1021.9,28,1.4235053262316901,20977.932324906847
3D SHEET OF CAT STICKERS,255.61999999999998,37,0.01131958762886599,98.39086693482324
3D SHEET OF DOG STICKERS,423.99,35,-0.18503918080861492,-2204.770002151932
3D TRADITIONAL CHRISTMAS STICKERS,2095.08,120,0.149792566299281,29094646.93228285
3D VINTAGE CHRISTMAS STICKERS,2162.75,103,-0.10130453532667283,-4018664.781094615
4 BLUE DINNER CANDLES SILVER FLOCK,229.22,21,-0.026410286938921272,-44.79938129787761
4 BURGUNDY WINE DINNER CANDLES,72.46,10,-0.3755030703826169,-70.57301534202321
4 GOLD FLOCK CHRISTMAS BALLS,6.72,1,0.0,0.0
4 IVORY DINNER CANDLES SILVER FLOCK,1213.29,63,-0.09403378461538454,-46236.79248326603
4 LAVENDER BOTANICAL DINNER CANDLES,1349.17,87,-0.41157412776650243,-2216554.177779298
4 LILY  BOTANICAL DINNER CANDLES,1013.01,63,-0.1311360301823519,-53836.26594953291
4 PEAR BOTANICAL DINNER CANDLES,1288.34,85,-0.006813531773854227,-28958.83022596687
4 PINK DINNER CANDLE SILVER FLOCK,264.82,27,0.09672243275718648,335.7998453874377
4 PINK FLOCK CHRISTMAS BALLS,89.72,9,-0.39132016632016636,-82.78576394034098
4 PURPLE FLOCK DINNER CANDLES,290.8,32,-0.19386844700705547,-1190.3302174282658
4 ROSE PINK DINNER CANDLES,276.59,14,0.1363511012400517,143.21638801048002
4 SKY BLUE DINNER CANDLES,297.91,11,0.01043183035236162,8.866763686530417
4 TRADITIONAL SPINNING TOPS,6789.46,261,-0.11749710166553794,-50740321445116.766
4 VANILLA BOTANICAL CANDLES,1481.4,100,-0.23950526637821765,-4889404.000291112
4 WILDFLOWER BOTANICAL CANDLES,770.87,49,-0.3201354679802956,-26336.406071538866
5 HOOK HANGER MAGIC TOADSTOOL,994.38,24,3.021256038647343,29591.321194334596
5 HOOK HANGER RED MAGIC TOADSTOOL,4753.29,72,1.4310466967936302,6500121.110539895
5 STRAND GLASS NECKLACE AMBER,37.620000000000005,3,-0.008759124087591183,-0.43858878832116516
5 STRAND GLASS NECKLACE AMETHYST,56.59,2,-0.10157681940700805,-6.95536097439353
5 STRAND GLASS NECKLACE BLACK,69.63,4,-0.5851785714285713,-59.65619506982143
5 STRAND GLASS NECKLACE CRYSTAL,126.64,8,-0.39334066901408465,-106.77786555391434
50'S CHRISTMAS GIFT BAG LARGE,2343.63,107,-0.7000673926939927,-44060174.25044017
50'S CHRISTMAS PAPER GIFT BAG,1108.8899999999999,86,-0.3960709724950887,-1593794.7992560186
50CM METAL STRING WITH  7 CLIPS,172.64,16,0.03743772241992888,29.698451795575693
6 CHOCOLATE LOVE HEART T-LIGHTS,2179.66,71,0.3934844761495759,745069.8741888306
6 EGG HOUSE PAINTED WOOD,2742.33,83,0.08053773804732353,602160.1494872636
6 GIFT TAGS 50'S CHRISTMAS,3431.8900000000003,236,-0.12123112732800673,-2442424795574.1504
6 GIFT TAGS VINTAGE CHRISTMAS,3517.52,228,-0.003132415279661932,-30175058814.945164
6 RIBBONS ELEGANT CHRISTMAS,2503.34,97,-0.09214689128269231,-2388311.596752232
6 RIBBONS EMPIRE,1669.53,97,0.009308094741887254,160896.08722720318
6 RIBBONS RUSTIC CHARM,17205.37,414,-0.2569012905575076,-6.053436039183831e+20
6 RIBBONS SHIMMERING PINKS,1241.32,62,-0.2781965946006496,-127227.80719263117
6 ROCKET BALLOONS,1297.12,117,0.2833780681509221,25602982.21166173
60 CAKE CASES DOLLY GIRL DESIGN,4010.5499999999997,238,0.0481723332215526,1372336721772.0042
60 CAKE CASES VINTAGE CHRISTMAS,9511.52,343,0.04149560924354679,6.222187299478149e+16
60 GOLD AND SILVER FAIRY CAKE CASES,1.1,2,0.0,0.0
60 TEATIME FAIRY CAKE CASES,9183.72,415,0.13168882458637526,1.821930877283506e+20
6PC WOOD PLATE SET DISPOSABLE,574.88,16,0.5542902897073814,1464.1899881192467
70'S ALPHABET WALL ART,1043.1,14,56.82857142857149,225107.66150166903
72 CAKE CASES VINTAGE CHRISTMAS,13.2,1,0.0,0.0
72 SWEETHEART FAIRY CAKE CASES,6555.33,326,0.2669352473938727,5.457777727916084e+16
75 BLACK PETIT FOUR CASES,24.36,17,0.012283018867924511,1.5123699884664266
75 GREEN FAIRY CAKE CASES,102.91,17,0.2234947315604617,116.25202211790011
75 GREEN PETIT FOUR CASES,186.25,31,-0.009090599841251852,-32.498406174886235
A PRETTY THANK YOU CARD,194.58,27,-0.1519300699300699,-387.56489820758793
A4 WALL TIDY BLUE OFFICE,80.96000000000001,6,0.7588000000000003,108.8313290113281
A4 WALL TIDY RED FLOWERS,7.37,4,0.555,5.988681435000002
ABC TREASURE BOOK BOX,4697.58,160,-0.49377528665684467,-9732696035.20625
ABSTRACT CIRCLE JOURNAL,449.8,25,0.1221850139220368,595.4626457010319
ABSTRACT CIRCLES POCKET BOOK,137.7,36,-0.08420374707259949,-358.4280784838991
ABSTRACT CIRCLES SKETCHBOOK,610.8100000000001,46,0.23330109606705343,11425.795191148725
ACRYLIC GEOMETRIC LAMP,568.65,9,-0.9087325390304026,-1218.4712574022915
"ACRYLIC HANGING JEWEL,BLUE",106.81,20,0.5853135949544498,420.5854358380596
"ACRYLIC HANGING JEWEL,PINK",66.55,7,5.3426506024096385,692.8729858474366
"ACRYLIC JEWEL ANGEL,PINK",29.64,2,0.0,0.0
"ACRYLIC JEWEL ICICLE, BLUE",11.78,3,0.6099999999999998,9.564299799999999
"ACRYLIC JEWEL ICICLE, PINK",106.97,16,0.4034374999999999,198.29931878520804
"ACRYLIC JEWEL SNOWFLAKE, PINK",63.28,5,1.2636274509803915,128.7801564038431
"ACRYLIC JEWEL SNOWFLAKE,PINK",15.3,1,0.0,0.0
ADULT APRON APPLE DELIGHT,950.83,33,2.7664062003179644,61091.0283062821
ADVENT CALENDAR GINGHAM SACK,6860.09,127,0.4984699611602339,617788501.0062145
AFGHAN SLIPPER SOCK PAIR,1690.5500000000002,17,-16.87120901639345,-144161.69291405403
AGED GLASS SILVER T-LIGHT HOLDER,6890.47,169,0.8452283941663767,57621786110.6169
AIRLINE BAG VINTAGE JET SET BROWN,1639.29,68,-0.005708960505827378,-6108.230524554706
AIRLINE BAG VINTAGE JET SET RED,2440.27,109,0.0872572883461546,6918983.192098483
AIRLINE BAG VINTAGE JET SET WHITE,1141.7,67,0.19156726066327584,129772.65673442738
AIRLINE BAG VINTAGE TOKYO 78,5093.57,145,-0.06748725257706771,-345289502.54236275
AIRLINE BAG VINTAGE WORLD CHAMPION,1289.49,82,-0.0815176524530032,-260537.25063423888
"AIRLINE LOUNGE,METAL SIGN",1412.27,87,0.04474741493283656,252260.5240567944
ALARM CLOCK BAKELIKE CHOCOLATE,8168.6,172,0.18064363988319826,19431760664.99755
ALARM CLOCK BAKELIKE GREEN,27196.53,323,0.4500474081981098,2.868197593541585e+17
ALARM CLOCK BAKELIKE IVORY,11479.65,242,0.01420565487753757,1695976049455.5981
ALARM CLOCK BAKELIKE ORANGE,9080.2,180,0.2865994014505517,73460524005.706
ALARM CLOCK BAKELIKE PINK,20702.15,292,0.4141455601303215,1.046724831409467e+16
ALARM CLOCK BAKELIKE RED,30701.12,389,1.386719242447358,5.381424946823114e+20
ALPHABET HEARTS STICKER SHEET,353.47999999999996,30,-0.023898860482966182,-147.4085231069115
ALPHABET STENCIL CRAFT,3063.52,121,0.9153139072962945,285960261.2610835
ALUMINIUM HEART,74.7,6,2.1342857142857135,282.44199487114287
ALUMINIUM STAMPED HEART,1902.19,101,0.30215581795082586,8712565.500504663
AMAZON FEE,13761.09,1,-4440.523333333333,-67217085.36081
AMBER 3 BEAD DROP EARRINGS,23.2,1,-0.0,-0.0
AMBER BERTIE GLASS BEAD BAG CHARM,21.05,2,-0.0013888888888888636,-0.03537569444444381
AMBER BERTIE MOBILE PHONE CHARM,6.58,1,0.0,0.0
AMBER CHUNKY BEAD BRACELET W STRAP,117.73,5,-2.099333333333334,-398.04481526846695
AMBER CHUNKY GLASS+BEAD NECKLACE,95.25,7,-0.0004604051565377731,-0.08545824299033523
AMBER CRYSTAL DROP EARRINGS,8.76,1,-0.008076923076923084,-0.07782923076923084
AMBER DIAMANTE EXPANDABLE RING,131.03,6,2.4454098360655734,567.6472087721494
AMBER DROP EARRINGS W LONG BEADS,117.24,6,0.3964893617021277,82.34997276407238
AMBER FINE BEAD NECKLACE W TASSEL,35.31,3,-0.18392156862745104,-8.643874152941182
AMBER GLASS TASSLE BAG CHARM,33.44,3,-0.3633236994219653,-16.171043741040467
AMBER GLASS/SHELL/PEARL NECKLACE,64.04,2,0.00036516853932589744,0.028296325842700875
AMBER GLASS/SILVER BRACELET,227.89,8,-0.6532301562978853,-319.1045343201179
AMETHYST 3 BEAD DROP EARRINGS,14.5,1,0.0,0.0
AMETHYST CHUNKY BEAD BRACELET W STR,297.94,12,0.011361935644799034,10.624129612875784
AMETHYST DIAMANTE EXPANDABLE RING,97.02,4,0.5766140602582499,81.90628703845056
AMETHYST DROP EARRINGS W LONG BEADS,61.08,1,0.0982828282828283,6.603426666666668
AMETHYST GLASS/SHELL/PEARL NECKLACE,137.63,1,-0.12018656716417907,-18.195404962686563
AMETHYST HOOP EARRING FLORAL LEAF,35.11,4,-0.13995408631772274,-7.194276967777783
ANGEL DECORATION 3 BUTTONS,1638.3500000000001,88,-0.12121278571579329,-871989.8137780222
ANGEL DECORATION PAINTED ZINC,574.54,25,1.4662154689923352,9127.15017111323
ANGEL DECORATION STARS ON DRESS,1134.25,62,0.14861411481034956,62103.39277379354
ANGEL DECORATION WITH LACE PADDED,180.2,11,0.07968750000000017,40.96986430076906
ANIMAL STICKERS,372.33,38,0.028139960574486034,391.89845467182363
ANIMALS AND NATURE WALL ART,923.97,16,38.67642857142857,164205.30999857295
ANT COPPER LIME BOUDICCA BRACELET,412.74,14,0.13457085596444868,210.92359597470002
ANT COPPER PINK BOUDICCA BRACELET,318.89,7,0.29412436931303637,182.77664680356165
ANT COPPER RED BOUDICCA BRACELET,119.91,7,0.19535185185185183,45.647997611964634
ANT COPPER TURQ BOUDICCA BRACELET,377.88,11,0.22046444954128422,237.6906026493719
ANT SILVER FUSCHIA BOUDICCA RING,41.300000000000004,3,-0.30367647058823527,-16.693186691176475
ANT SILVER LIME GREEN BOUDICCA RING,79.65,7,-0.5170103092783502,-80.24791905466238
ANT SILVER PURPLE BOUDICCA RING,29.5,3,0.7375000000000003,28.957568750000018
ANT SILVER TURQUOISE BOUDICCA RING,17.7,1,0.0,0.0
ANT WHITE WIRE HEART SPIRAL,1519.63,53,-0.23614509733774566,-56069.81272734149
ANTIQUE ALL GLASS CANDLESTICK,2618.25,67,0.21675311525428298,336733.53212023014
ANTIQUE CREAM CUTLERY CUPBOARD,530.19,13,0.5607306590257881,1026.3387869061783
ANTIQUE CREAM CUTLERY SHELF,254.98000000000002,18,-0.20305111821086275,-287.8590151059032
ANTIQUE GLASS DRESSING TABLE POT,5564.25,127,1.0194282134300545,1024788630.3035376
ANTIQUE GLASS HEART DECORATION,709.18,27,-2.264731861198738,-21055.994987723036
ANTIQUE GLASS PEDESTAL BOWL,4215.14,124,0.3878238440700208,221890888.9388177
ANTIQUE GLASS PLACE SETTING,152.5,8,-1.2129840546697042,-396.5212045605072
ANTIQUE HEART SHELF UNIT,4145.47,65,22.56993328973185,45880547.027877085
ANTIQUE IVORY WIRE BOWL SMALL,251.45,18,0.7698387096774191,1076.2662400102733
ANTIQUE MID BLUE FLOWER EARRINGS,21.15,3,0.6692307692307691,18.839281153846155
ANTIQUE OLIVE GREEN FLOWER EARRINGS,29.73,4,0.6495338983050848,28.27271211851696
ANTIQUE OPAL WHITE FLOWER EARRINGS,21.130000000000003,3,-0.011406250000000003,-0.3207897171875002
ANTIQUE RASPBERRY FLOWER EARRINGS,20.950000000000003,2,1.1127906976744184,28.208687790697677
ANTIQUE SILVER BAUBLE LAMP,3635.23,65,2.3861773816688485,4253624.549337324
ANTIQUE SILVER BOOK MARK WITH BEADS,14.11,1,0.0,0.0
ANTIQUE SILVER T-LIGHT GLASS,19411.62,349,0.4799390168125408,2.601926107061353e+18
ANTIQUE SILVER TEA GLASS ENGRAVED,10297.27,178,1.2318724453776335,295927823161.9693
ANTIQUE SILVER TEA GLASS ETCHED,6478.01,118,-2.830163795057811,-1404720866.4371448
ANTIQUE TALL SWIRLGLASS TRINKET POT,3564.49,110,-0.4434217820274126,-56494971.12882352
APOTHECARY MEASURING JAR,826.28,21,0.10401534972963498,636.0204251520782
APPLE BATH SPONGE,1913.67,84,-0.18543277127380722,-1064238.805845619
APRON APPLE DELIGHT,1456.69,53,1.89216104030872,430662.9870759667
APRON MODERN VINTAGE COTTON,1143.76,53,1.1158764553686933,199417.52954525867
AQUA BERTIE GLASS BEAD BAG CHARM,48.06,4,0.6218246445497627,43.7544709878199
AREA PATROLLED METAL SIGN,8862.99,177,0.5113952901962844,96126306659.99374
ARMY CAMO BOOKCOVER TAPE,7.14,4,-0.028000000000000014,-0.2927028720000002
"ART LIGHTS,FUNK MONKEY",1037.54,27,-0.11133015455442284,-1514.328724037481
ASS COL CIRCLE MOBILE,173.16000000000003,6,-1.8458653846153856,-566.2441310080507
ASS COL LARGE SAND FROG P'WEIGHT,28.35,6,-1.5750000000000008,-79.1024131012501
ASS COL SMALL SAND GECKO P'WEIGHT,12.18,9,0.4200000000000001,12.062317208079612
ASS COLOUR GLOWING TIARAS,216.06,25,0.4396357142857143,1029.1637157045918
ASS DES PHONE SPONGE CRAFT STICKER,154.39,12,0.07235976789168262,35.06134354823195
ASS FLORAL PRINT MULTI SCREWDRIVER,1264.2,124,0.20183346138764124,34633941.09034015
ASS FLORAL PRINT SPIRIT LEVEL,112.81,31,-0.21933417222890905,-474.92730488282746
ASSORTED BOTTLE TOP  MAGNETS,1406.42,111,-0.14348962834917894,-7934573.6731530065
ASSORTED CAKES FRIDGE MAGNETS,35.75,6,-0.209628770301624,-13.276483003509279
ASSORTED CHEESE FRIDGE MAGNETS,180.71,9,0.3390847838293095,144.48562932502927
ASSORTED CIRCULAR MOBILE,155.82000000000002,18,-0.8649324866310162,-749.3310731984466
ASSORTED COLOUR BIRD ORNAMENT,59094.93,679,1.3114980232198874,9.884417599619327e+32
ASSORTED COLOUR LIZARD SUCTION HOOK,395.1,17,-0.5948787271198497,-1187.9854351986144
ASSORTED COLOUR METAL CAT,143.75,19,-0.39873810508895324,-350.55536011899335
ASSORTED COLOUR MINI CASES,12614.17,240,-0.14604679261332115,-15834164093521.95
ASSORTED COLOUR SILK GLASSES CASE,6.3,1,0.0,0.0
ASSORTED COLOUR SUCTION CUP HOOK,38.379999999999995,11,0.02651802962009011,2.9037936989059965
ASSORTED COLOUR T-LIGHT HOLDER,2304.83,67,-2.794779775242463,-3822050.27572032
ASSORTED COLOURED CIRCLE MOBILE,27.3,6,0.07815533980582524,3.7798747880097103
ASSORTED COLOURS SILK FAN,18569.84,195,0.6339230085089763,1388092100312.1577
ASSORTED CREEPY CRAWLIES,1127.23,64,0.35402810588164024,177902.53239238847
ASSORTED EASTER DECORATIONS  BELLS,729.5699999999999,22,-6.071860986547084,-36060.17756290988
ASSORTED EASTER GIFT TAGS,977.76,57,-1.001742724298261,-224063.7071922418
ASSORTED FARMYARD ANIMALS IN BUCKET,74.58,7,-1.0434545454545454,-151.6508016443641
"ASSORTED FLOWER COLOUR ""LEIS""",4934.87,73,3.3147713875453433,17194728.16919033
ASSORTED INCENSE PACK,760.3199999999999,16,-2.8701369863013686,-10027.253683205776
ASSORTED LAQUERED INCENSE HOLDERS,455.98,13,-5.775888304330231,-9092.210617689996
ASSORTED MINI MADRAS NOTEBOOK,481.95,23,1.117741935483871,4823.644447994285
ASSORTED MONKEY SUCTION CUP HOOK,261.3,17,0.21429676670642478,283.02882989813327
ASSORTED SANSKRIT MINI NOTEBOOK,136.25,6,3.3405172413793105,806.3179713092677
ASSORTED SHAPES PHOTO CLIP SILVER,241.20999999999998,11,-0.4937781350482312,-339.81825113423156
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,644.03,39,-0.061459382261812544,-1628.5796732689175
ASSORTED TUTTI FRUTTI BRACELET,692.8499999999999,49,0.10181282681061,7528.063777430404
ASSORTED TUTTI FRUTTI HEART BOX,268.75,29,-0.2467685076380728,-1052.0250406476644
ASSORTED TUTTI FRUTTI KEYRING BALL,451.59,20,1.8712090067472151,5684.867132143213
ASSORTED TUTTI FRUTTI LARGE PURSE,247.8,22,0.6637850467289722,1338.9607310230242
ASSORTED TUTTI FRUTTI MIRROR,743.31,28,0.5557044230917849,5956.74506264849
ASSORTED TUTTI FRUTTI NOTEBOOK,551.96,26,1.2176578430455527,8010.187656607273
ASSORTED TUTTI FRUTTI PEN,831.02,80,0.46489087054128203,791365.8521598967
ASSORTED TUTTI FRUTTI SMALL PURSE,992.79,27,-0.63193527674329,-8224.935352616314
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,218.87,7,-2.2568280254777084,-962.5726114192241
ASSTD DESIGN 3D PAPER STICKERS,391.93,29,0.22116203669589574,1375.0134863924702
ASSTD DESIGN BUBBLE GUM RING,3.5700000000000003,1,0.0,0.0
ASSTD DESIGN RACING CAR PEN,2389.44,45,1.0263829729583265,178762.49212600404
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,637.56,58,-0.06417376490630342,-10295.663032894638
ASSTD MULTICOLOUR CIRCLES MUG,840.47,37,-0.07708686969545685,-2203.0886724237
ASSTD RASTA KEY-CHAINS,3.7800000000000002,3,0.0,0.0
Adjust bad debt,11062.06,1,0.0,0.0
BABUSHKA LIGHTS STRING OF 10,3633.17,83,-0.05459446810703139,-540788.2249507637
BABY BOOM RIBBONS,477.34,71,-0.49182788374205255,-203949.01963706783
BABY MOUSE RED GINGHAM DRESS,314.5,20,0.10724978614200173,226.9189617477645
BAG 125g SWIRLY MARBLES,3528.89,176,0.5418806502790515,36868405223.6444
BAG 250g SWIRLY MARBLES,4039.28,138,0.17739960338994082,369357698.633232
BAG 500g SWIRLY MARBLES,1462.17,90,0.4239132974122935,3293188.3707655673
BAG OF SILVER STONES,89.95,6,-0.5808923076923079,-92.56629986781701
BAKING MOULD CHOCOLATE CUP CAKES,30.6,2,0.0,0.0
BAKING MOULD CHOCOLATE CUPCAKES,2507.14,120,0.4136657492878713,96150239.0899989
BAKING MOULD CUPCAKE CHOCOLATE,30.6,1,0.0,0.0
BAKING MOULD EASTER EGG MILK CHOC,2585.92,83,-1.83828334877258,-12960459.717917787
BAKING MOULD EASTER EGG WHITE CHOC,1707.47,66,-1.0070000000000003,-927469.790984653
BAKING MOULD HEART MILK CHOCOLATE,2849.35,121,-0.23592582682221977,-68554534.93423173
BAKING MOULD HEART WHITE CHOCOLATE,1968.4,96,-1.0205818115077545,-18908581.759491477
BAKING MOULD ROSE MILK CHOCOLATE,2066.82,47,-1.0346068721811505,-188596.7552976662
BAKING MOULD ROSE WHITE CHOCOLATE,895.97,31,-1.045949897265687,-17987.78093352154
BAKING MOULD TOFFEE CUP  CHOCOLATE,15.3,1,0.0,0.0
BAKING MOULD TOFFEE CUP CHOCOLATE,1985.58,51,-2.4508735360273026,-628398.6381714216
BAKING SET 9 PIECE RETROSPOT,24239.72,582,1.0029939591458668,2.9948058879225923e+28
BAKING SET SPACEBOY DESIGN,10745.05,297,-0.9981727848001012,-2.108830418505319e+16
BALLOON ART MAKE YOUR OWN FLOWERS,1058.69,67,0.05075514062869305,31882.968635804973
BALLOON PUMP WITH 10 BALLOONS,1580.16,95,-0.2265024692129776,-3062521.1367637464
BALLOON WATER BOMB PACK OF 35,2385.12,101,-0.7211190284216886,-26072242.728848044
BALLOONS  WRITING SET,2418.68,136,-0.03422327846382766,-35261859.119348
BANK ACCOUNT  GREETING  CARD,132.44,17,0.5234762456546928,350.4223508266601
BANQUET BIRTHDAY  CARD,717.12,72,0.13106712601282414,89817.08226036675
BAROQUE BUTTERFLY EARRINGS BLACK,7.5,2,-0.0,-0.0
BAROQUE BUTTERFLY EARRINGS CRYSTAL,14.96,2,-0.003577235772357728,-0.06475369105691066
BAROQUE BUTTERFLY EARRINGS MONTANA,3.73,1,0.0,0.0
BAROQUE BUTTERFLY EARRINGS PINK,11.19,1,0.0,0.0
BAROQUE BUTTERFLY EARRINGS RED,3.73,1,0.0,0.0
BASKET OF FLOWERS SEWING KIT,645.06,41,-1.00950495049505,-32419.674993706565
BASKET OF TOADSTOOLS,1767.15,52,-1.0527542106503915,-264253.0632493278
BATH BUILDING BLOCK WORD,5089.56,169,-0.08038643084417604,-4047872053.502545
BATHROOM HOOK,157.5,22,-0.2321949126570641,-297.69554247177416
BATHROOM METAL SIGN,4087.45,236,0.39477435048940385,9472728240721.14
BATHROOM SCALES FOOTPRINTS IN SAND,172.05,17,-0.38524653312788903,-335.0187113614366
BATHROOM SCALES RUBBER DUCKS,146.85,12,-0.8427845528455283,-388.4210337051247
"BATHROOM SCALES, TROPICAL BEACH",67.5,9,0.11306532663316586,17.995643496011326
BATHROOM SET LOVE HEART DESIGN,237.98,10,-0.5499890470974806,-339.48559608422784
BEACH HUT DESIGN BLACKBOARD,203.07,8,-1.452425068119891,-632.2385691958505
BEACH HUT KEY CABINET,177.33,7,0.17008278145695355,58.77482702554039
BEACH HUT MIRROR,66.39,7,1.577631578947368,204.10660341385665
BEACH HUT SHELF W 3 DRAWERS,504.43,17,-0.03693045028979056,-94.15885271633087
BEADED CHANDELIER T-LIGHT HOLDER,1435.82,32,-7.018818039078855,-212779.56030979462
BEADED CRYSTAL HEART BLUE  LARGE,438.87,38,0.27720093457943945,4550.431916072444
BEADED CRYSTAL HEART BLUE ON STICK,178.85,6,0.0660759341583564,20.935742458639634
BEADED CRYSTAL HEART BLUE SMALL,107.31,9,-0.5898103874690847,-149.24052844766905
BEADED CRYSTAL HEART GREEN LARGE,760.4300000000001,45,0.45373535739899595,25149.693531599303
